
2018-08-17 11:08:30.472267, 27, 75, 100, Renting
2018-08-17 11:31:16.991616, 28, 175, 300, Returned
2018-08-17 11:50:57.509123, 23, 75, 100, Renting
2018-08-17 11:52:35.753286, 27, 75, 100, Renting
2018-08-17 11:54:47.217139, 26, 75, 100, Renting
2018-08-17 11:58:36.395010, 25, 75, 100, Renting
2018-08-17 11:59:55.607170, 24, 75, 100, Renting
2018-08-17 12:31:53.506223, 23, 75, 100, Renting
2018-08-17 12:32:26.477377, 22, 75, 100, Renting
2018-08-17 12:36:55.801588, 21, 75, 100, Renting
2018-08-17 12:38:24.959057, 22, 175, 300, Returned
2018-08-17 12:40:19.630816, 23, 175, 300, Returned
2018-08-17 12:41:08.759156, 24, 175, 300, Returned
2018-08-17 12:44:12.428182, 23, 75, 100, Renting
2018-08-17 12:44:56.519217, 22, 75, 100, Renting
2018-08-17 12:45:17.622975, 21, 175, 300, Returned
2018-08-17 13:23:53.257599, 18, 75, 100, Renting
2018-08-17 13:24:06.077668, 19, 75, 100, Returned
